group_id,source_sheet,source_row,service_no,guest_type,pax_clean,queue_start,queue_end,meal_start_clean,meal_end_clean,table_code,service_status,wait_minutes_recorded,wait_minutes_strict,meal_minutes,queue_observed,walkaway,queue_eligible,meal_eligible,pax_eligible,table_status,table_units_confirmed,needs_review,review_reason
133_1,133,2,1,In house,1,,,06:42:00,07:00:00,6,direct_meal,,,18.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_2,133,3,2,Walk in,2,,,06:44:00,07:10:00,2,direct_meal,,,26.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_3,133,4,3,Walk in,2,,,07:05:00,08:08:00,7A,direct_meal,,,63.0,0,0,0,1,1,documented,7A,0,
133_4,133,5,4,In house,1,,,07:20:00,08:18:00,8A,direct_meal,,,58.0,0,0,0,1,1,documented,8A,0,
133_5,133,6,5,In house,1,,,07:25:00,07:45:00,10A,direct_meal,,,20.0,0,0,0,1,1,documented,10A,0,
133_6,133,7,6,In house,1,,,07:28:00,08:20:00,8B,direct_meal,,,52.0,0,0,0,1,1,documented,8B,0,
133_7,133,8,7,In house,1,,,07:33:00,08:05:00,9,direct_meal,,,32.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_8,133,9,8,Walk in,5,,,07:42:00,08:40:00,4,direct_meal,,,58.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_9,133,10,9,In house,4,,,07:48:00,08:21:00,11,direct_meal,,,33.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_10,133,11,10,In house,2,,,07:48:00,08:35:00,16,direct_meal,,,47.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_11,133,12,11,Walk in,2,,,07:50:00,08:48:00,6,direct_meal,,,58.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_12,133,13,12,In house,1,,,07:56:00,08:15:00,7B,direct_meal,,,19.0,0,0,0,1,1,documented,7B,0,
133_13,133,14,13,In house,1,,,07:59:00,08:35:00,10A,direct_meal,,,36.0,0,0,0,1,1,documented,10A,0,
133_14,133,15,14,Walk in,1,,,08:00:00,09:19:00,1,direct_meal,,,79.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_15,133,16,15,Walk in,1,,,08:03:00,08:27:00,8C,direct_meal,,,24.0,0,0,0,1,1,documented,8C,0,
133_16,133,17,16,In house,2,,,08:05:00,08:25:00,12,direct_meal,,,20.0,0,0,0,1,1,documented,12,0,
133_17,133,18,17,In house,1,,,08:14:00,09:03:00,14,direct_meal,,,49.0,0,0,0,1,1,documented,14,0,
133_18,133,19,18,Walk in,2,,,08:15:00,09:30:00,7A,direct_meal,,,75.0,0,0,0,1,1,documented,7A,0,
133_19,133,20,19,In house,1,,,08:16:00,09:05:00,15A,direct_meal,,,49.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_20,133,21,20,In house,1,,,08:19:00,08:35:00,10B,direct_meal,,,16.0,0,0,0,1,1,documented,10B,0,
133_21,133,22,21,Walk in,4,,,08:24:00,10:46:00,3,direct_meal,,,142.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_22,133,23,22,In house,2,,,08:25:00,09:22:00,5,direct_meal,,,57.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_23,133,24,23,Walk in,2,,,08:25:00,10:12:00,2,direct_meal,,,107.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_24,133,25,24,Walk in,1,,,08:33:00,09:30:00,8A,direct_meal,,,57.0,0,0,0,1,1,documented,8A,0,
133_25,133,26,25,Walk in,1,,,08:41:00,09:25:00,11A,direct_meal,,,44.0,0,0,0,1,1,documented,11A,0,
133_26,133,27,26,Walk in,1,,,08:43:00,09:35:00,16,direct_meal,,,52.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_27,133,28,27,In house,1,,,08:47:00,09:18:00,12,direct_meal,,,31.0,0,0,0,1,1,documented,12,0,
133_28,133,29,28,In house,2,,,08:53:00,09:28:00,10A,direct_meal,,,35.0,0,0,0,1,1,documented,10A,0,
133_29,133,30,29,In house,1,,,08:53:00,09:13:00,7B,direct_meal,,,20.0,0,0,0,1,1,documented,7B,0,
133_30,133,31,30,In house,3,,,09:00:00,09:33:00,6,direct_meal,,,33.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_31,133,32,31,Walk in,2,,,09:05:00,10:00:00,4,direct_meal,,,55.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_32,133,33,32,In house,2,,,09:05:00,09:39:00,8B,direct_meal,,,34.0,0,0,0,1,1,documented,8B,0,
133_33,133,34,33,Walk in,2,,,09:07:00,10:07:00,15A,direct_meal,,,60.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_34,133,35,34,In house,2,,,09:08:00,10:09:00,8A,direct_meal,,,61.0,0,0,0,1,1,documented,8A,0,
133_35,133,36,35,Walk in,2,,,09:16:00,10:06:00,8,direct_meal,,,50.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_36,133,37,36,In house,1,,,09:23:00,09:57:00,12,direct_meal,,,34.0,0,0,0,1,1,documented,12,0,
133_37,133,38,37,In house,1,,,08:28:00,09:30:00,7C,direct_meal,,,62.0,0,0,0,1,1,documented,7C,0,
133_38,133,39,38,In house,1,,,09:30:00,10:05:00,11A,direct_meal,,,35.0,0,0,0,1,1,documented,11A,0,
133_39,133,40,39,In house,3,,,09:36:00,10:50:00,1,direct_meal,,,74.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_40,133,41,40,Walk in,2,,,09:34:00,10:40:00,5,direct_meal,,,66.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_41,133,42,41,In house,2,,,09:42:00,10:30:00,6,direct_meal,,,48.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_42,133,43,42,Walk in,1,,,09:53:00,11:00:00,7A,direct_meal,,,67.0,0,0,0,1,1,documented,7A,0,
133_43,133,44,43,In house,2,,,09:55:00,10:34:00,16,direct_meal,,,39.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_44,133,45,44,In house,2,,,10:03:00,10:35:00,7B,direct_meal,,,32.0,0,0,0,1,1,documented,7B,0,
133_45,133,46,45,In house,2,,,10:05:00,11:06:00,12,direct_meal,,,61.0,0,0,0,1,1,documented,12,0,
133_46,133,47,46,In house,2,,,10:08:00,10:50:00,10A,direct_meal,,,42.0,0,0,0,1,1,documented,10A,0,
133_47,133,48,47,Walk in,2,,,10:10:00,11:10:00,8B,direct_meal,,,60.0,0,0,0,1,1,documented,8B,0,
133_48,133,49,48,In house,2,,,10:20:00,10:57:00,4,direct_meal,,,37.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_49,133,50,49,Walk in,2,,,10:32:00,11:00:00,2,direct_meal,,,28.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_50,133,51,50,Walk in,2,,,10:35:00,11:20:00,6,direct_meal,,,45.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_51,133,52,51,In house,2,,,10:45:00,11:27:00,5,direct_meal,,,42.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_52,133,53,52,Walk in,2,,,10:53:00,11:57:00,9,direct_meal,,,64.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_53,133,54,53,Walk in,2,,,10:58:00,11:57:00,1,direct_meal,,,59.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_54,133,55,54,Walk in,2,,,11:00:00,12:03:00,4,direct_meal,,,63.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_55,133,56,55,Walk in,2,,,11:00:00,11:45:00,16,direct_meal,,,45.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_56,133,57,56,In house,2,,,11:15:00,11:43:00,3,direct_meal,,,28.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
133_57,133,58,57,Walk in,2,,,11:16:00,12:00:00,2,direct_meal,,,44.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
143_1,143,2,1,Walk in,1,,,06:29:00,10:14:00,5B,direct_meal,,,225.0,0,0,0,1,1,documented,5B,0,
143_2,143,3,2,Walk in,2,,,06:32:00,08:02:00,7A,direct_meal,,,90.0,0,0,0,1,1,documented,7A,0,
143_3,143,4,3,Walk in,1,,,06:33:00,07:47:00,1A,direct_meal,,,74.0,0,0,0,1,1,documented,1A,0,
